venta_id;product_id;cantidad;precio_unitario;subtotal
1;725;2;3.29;6.58
2;864;1;19.99;19.99
2;295;2;4.19;8.38
3;849;3;49.99;149.97
4;819;1;4.29;4.29
4;877;1;29.99;29.99
5;839;2;79.99;159.98
5;984;3;15.99;47.97
5;986;2;35.00;70.00
6;52;3;24.99;74.97
6;738;3;4.29;12.87
7;554;3;29.99;89.97
7;531;3;16.99;50.97
8;145;1;19.99;19.99
8;105;1;49.99;49.99
8;688;3;24.99;74.97
9;13;1;5.99;5.99
9;440;3;12.99;38.97
9;119;3;4.29;12.87
9;539;1;3.49;3.49
9;138;2;8.99;17.98
10;567;2;1.99;3.98
10;277;2;39.99;79.98
11;408;1;39.99;39.99
12;658;1;3.29;3.29
12;963;3;2.99;8.97
13;127;2;1.29;2.58
13;529;3;2.49;7.47
13;426;3;25.00;75.00
14;831;2;4.29;8.58
14;914;1;49.99;49.99
14;208;3;4.49;13.47
15;358;1;32.99;32.99
16;725;1;3.29;3.29
17;837;3;19.99;59.97
17;443;2;2.99;5.98
18;68;3;49.99;149.97
18;702;2;19.99;39.98
19;716;2;3.99;7.98
20;580;3;12.99;38.97
20;434;2;49.99;99.98
21;281;1;2.99;2.99
22;576;2;29.99;59.98
23;828;1;14.99;14.99
24;428;1;1.49;1.49
24;143;3;14.99;44.97
25;293;2;14.99;29.98
26;397;1;119.99;119.99
26;850;1;8.99;8.99
27;722;3;49.99;149.97
27;648;3;1.49;4.47
28;3;2;5.99;11.98
28;544;1;22.99;22.99
28;732;1;89.99;89.99
29;529;3;2.49;7.47
30;934;1;2.79;2.79
30;452;2;3.99;7.98
30;54;2;5.99;11.98
31;145;2;19.99;39.98
31;199;1;39.99;39.99
32;604;1;2.49;2.49
33;956;2;6.99;13.98
33;796;3;3.69;11.07
33;623;1;19.99;19.99
33;580;3;12.99;38.97
34;704;1;1.49;1.49
34;471;3;19.99;59.97
35;940;1;39.99;39.99
36;594;3;29.99;89.97
36;995;3;4.29;12.87
37;556;2;3.99;7.98
37;881;1;6.49;6.49
37;674;2;19.99;39.98
38;366;1;1.29;1.29
39;116;1;59.99;59.99
40;961;2;6.49;12.98
41;77;3;49.99;149.97
41;8;3;39.99;119.97
41;466;3;39.99;119.97
41;498;3;24.99;74.97
42;412;3;15.99;47.97
42;50;2;1.50;3.00
43;968;3;2.49;7.47
43;207;2;3.99;7.98
43;88;2;4.29;8.58
44;976;3;24.99;74.97
45;620;2;34.99;69.98
45;478;1;2.99;2.99
46;35;2;3.19;6.38
46;686;2;59.99;119.98
47;451;1;49.99;49.99
48;852;1;3.49;3.49
